Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
,,,,,,,SPY,SPY,SPY,SPY,SPY,SPY,,,
2017-01-03,2017,1,3,Tuesday,01,2017-01,225.04,225.83,223.88,225.24,91366500,196.12,,196.12,196.12
2017-01-04,2017,1,4,Wednesday,01,2017-01,225.62,226.75,225.61,226.58,78744400,197.28,0.0059492335802429075,196.7,196.7
2017-01-05,2017,1,5,Thursday,01,2017-01,226.27,226.58,225.48,226.4,78379000,197.13,-0.0007944026287139971,196.84333333333333,196.84333333333333
2017-01-06,2017,1,6,Friday,01,2017-01,226.53,227.75,225.9,227.21,71559900,197.83,0.00357784744121048,197.09,197.09
2017-01-09,2017,1,9,Monday,02,2017-02,226.91,227.07,226.42,226.46,46939700,197.18,-0.00330107689351844,197.108,197.108
2017-01-10,2017,1,10,Tuesday,02,2017-02,226.48,227.45,226.01,226.46,63771900,197.18,0.0,197.12,197.12
2017-01-11,2017,1,11,Wednesday,02,2017-02,226.36,227.1,225.59,227.1,74650000,197.74,0.002826263058369305,197.20857142857145,197.20857142857145
2017-01-12,2017,1,12,Thursday,02,2017-02,226.5,226.75,224.96,226.53,72113200,197.24,-0.0025100923026871724,197.2125,197.2125
2017-01-13,2017,1,13,Friday,02,2017-02,226.73,227.4,226.69,227.05,62717900,197.69,0.0022954648169268843,197.26555555555558,197.26555555555558
2017-01-17,2017,1,17,Tuesday,03,2017-03,226.31,226.78,225.8,226.25,61240800,197.0,-0.0035234558734427157,197.239,197.239
2017-01-18,2017,1,18,Wednesday,03,2017-03,226.54,226.8,225.9,226.75,54793300,197.43,0.002210237034076412,197.25636363636366,197.25636363636366
2017-01-19,2017,1,19,Thursday,03,2017-03,226.84,227.0,225.41,225.91,66608800,196.7,-0.003704792867099016,197.21,197.21
2017-01-20,2017,1,20,Friday,03,2017-03,226.7,227.31,225.97,226.74,129168600,197.42,0.003673964560798604,197.22615384615386,197.22615384615386
2017-01-23,2017,1,23,Monday,04,2017-04,226.74,226.81,225.27,226.15,75061600,196.91,-0.0026018793755613334,197.20357142857142,197.20357142857142
2017-01-24,2017,1,24,Tuesday,04,2017-04,226.4,228.08,226.27,227.6,95555300,198.17,0.006411551905681323,197.35,197.268
2017-01-25,2017,1,25,Wednesday,04,2017-04,228.7,229.57,228.51,229.57,84437700,199.89,0.008655610065590347,197.53642857142856,197.431875
2017-01-26,2017,1,26,Thursday,04,2017-04,229.4,229.71,229.01,229.33,59970700,199.68,-0.0010455098307008415,197.71857142857144,197.56411764705882
2017-01-27,2017,1,27,Friday,04,2017-04,229.42,229.59,228.76,228.97,59711100,199.37,-0.0015698296815415125,197.82857142857142,197.66444444444446
